,Model,,Noise Ratio,Noise Ratio,Noise Ratio,,,
,Model,,,,,,,
,Model,0.2,0.4,0.6,0.8,Avg.,,
,,0.2,0.4,0.6,0.8,Avg.,,
,,,,,,,,
,gpt-4o-2024-08-06,98.3,98.0,96.6,87.7,95.2,,
,Na¨ıve RAG,99.0,98.0,96.7,87.3,95.3,,
,TurboRAG-composite w/o fine-tuning,98.3,96.3,93.7,79.0,91.8,,
,TurboRAG-reordered w/o fine-tuning,98.0,96.7,93.3,81.3,92.3,,
,TurboRAG-composite,99.0,97.3,96.0,86.7,94.8,,
,TurboRAG-reordered,98.7,97.3,96.0,90.7,95.7,,
,,,,,,,,
,English,English,,,,,,
,,,,,,,,
,Model,,Noise Ratio,Noise Ratio,Noise Ratio,,,
,Model,,,,,,,
,Model,0.2,0.4,0.6,0.8,Avg.,,
,,0.2,0.4,0.6,0.8,Avg.,,
,,,,,,,,
,gpt-4o-2024-08-06,99.0,99.3,98.3,96.3,98.2,,
,Na¨ıve RAG,99.7,99.3,99.3,94.3,98.2,,
,TurboRAG-composite w/o fine-tuning,98.0,96.3,91.3,75.0,90.2,,
,TurboRAG-reordered w/o fine-tuning,98.0,97.3,90.7,85.7,92.9,,
,TurboRAG-composite,99.3,98.0,96.7,92.7,96.7,,
,TurboRAG-reordered,99.0,98.3,96.0,93.7,96.8,,
,,,,,,,,
